convID,messageID,message,Intent Identified,Correct/Incorrect,Entity Identified,Correct/Incorrect
32,32-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
32,32-4,"How do these verses contrast divine and demonic qualities?","Default Fallback Intent",Correct,"",Correct
33,33-1,"Namaste","Default Fallback Intent",Correct,"",Correct
33,33-2,"Please show all verses of chapter 15","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 15.0
shloka-verse: Shloka",Correct
33,33-3,"Thank you","appreciate",Correct,"",Correct
33,33-4,"Which verse describes the supreme person?","Default Fallback Intent",Correct,"",Correct
34,34-1,"Provide a summary of chapter 14","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 14.0
shloka-verse: null",Correct
34,34-2,"Show verse 14.14 from chapter 14","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 14.0
sloka-number: 14.14",Correct
34,34-3,"How does this verse explain transcendence of the gunas?","Default Fallback Intent",Correct,"",Correct
35,35-1,"Show verse 13.13 of chapter 13","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 13.0
sloka-number: 13.13",Correct
35,35-2,"Yes","shloka.search - yes",Correct,"",Correct
35,35-3,"Display the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
35,35-4,"How do these verses describe the knowable?","Default Fallback Intent",Correct,"",Correct
36,36-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
36,36-2,"Please display verse 12.12 from chapter 12","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 12.0
sloka-number: 12.12",Correct
36,36-3,"No","shloka.search - no",Correct,"",Correct
36,36-4,"I understand, thank you","appreciate",Correct,"",Correct
37,37-1,"verse 11 of chapter 11","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 11.0
sloka-number: 11.0",Correct
37,37-2,"Can you share verse 11.11?","get.previous.sloka",Incorrect,"number: 11.11
shloka-verse: Shloka",Incorrect
37,37-3,"Yes","get.previous.sloka - yes",Correct,"",Correct
37,37-4,"How does this verse describe the universal form?","Default Fallback Intent",Correct,"",Correct
38,38-1,"Show all verses from chapter 10","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 10.0
shloka-verse: Shloka",Correct
38,38-2,"Thank you","appreciate",Correct,"",Correct
38,38-3,"Which verse lists Krishna's divine manifestations?","Default Fallback Intent",Correct,"",Correct
39,39-1,"Give me a summary of chapter 9","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: null",Correct
39,39-2,"How does this chapter describe bhakti yoga?","Default Fallback Intent",Correct,"",Correct
40,40-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
40,40-2,"Could you show verse 18 of chapter 8?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 8.0
sloka-number: 18.0",Correct
40,40-3,"Yes","shloka.search - yes",Correct,"",Correct
40,40-4,"What does this verse say about constant meditation?","Default Fallback Intent",Correct,"",Correct
41,41-1,"Provide a summary of chapter 7","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: null",Correct
41,41-2,"Show verse 7.7 from chapter 7","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: Shloka",Incorrect
41,41-3,"No","Default Fallback Intent",Correct,"",Correct
41,41-4,"Thank you for the explanation","appreciate",Correct,"",Correct
42,42-1,"Display shloka 9999 from chapter 6","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 9999.0",Correct
42,42-2,"Yes","shloka.search - yes",Correct,"",Correct
42,42-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
42,42-4,"How do these verses describe the mind?","Default Fallback Intent",Correct,"",Correct
43,43-1,"Namaste","Default Fallback Intent",Correct,"",Correct
43,43-2,"Please show all verses of chapter 5","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 5.0
shloka-verse: Shloka",Correct
43,43-3,"Thank you","appreciate",Correct,"",Correct
43,43-4,"Which verse talks about equanimity?","Default Fallback Intent",Correct,"",Correct
44,44-1,"Give a summary of chapter 4","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 4.0
shloka-verse: null",Correct
44,44-2,"Show verse 4 from chapter 4","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 4.0
sloka-number: 4.0",Correct
44,44-3,"How does this verse describe the nature of action?","Default Fallback Intent",Correct,"",Correct
45,45-1,"Display verse 9 of chapter 3","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: 9.0",Correct
45,45-2,"Yes","shloka.search - yes",Correct,"",Correct
45,45-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
45,45-4,"How do these verses explain karma yoga?","Default Fallback Intent",Correct,"",Correct
46,46-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
46,46-2,"Please show verse 2.2 from chapter 2","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 2.2",Correct
46,46-3,"No","shloka.search - no",Correct,"",Correct
46,46-4,"I appreciate your assistance","appreciate",Correct,"",Correct
47,47-1,"verse 1 of chapter 1","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 1.0",Correct
47,47-2,"Can you share verse 1.1?","get.previous.sloka",Incorrect,"number: 1.1
shloka-verse: Shloka",Incorrect
47,47-3,"Yes","get.previous.sloka - yes",Correct,"",Correct
47,47-4,"How does the Gita begin?","Default Welcome Intent",Incorrect,"person: [object Object]",Incorrect
48,48-1,"Show all verses from chapter 18","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 18.0
shloka-verse: Shloka",Correct
48,48-2,"Thank you","appreciate",Correct,"",Correct
48,48-3,"Which verse is considered the essence of the Gita?","Default Fallback Intent",Correct,"",Correct
49,49-1,"Provide a summary of chapter 17","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: null",Correct
49,49-2,"How does this chapter explain the three types of faith?","Default Fallback Intent",Correct,"",Correct
50,50-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
50,50-2,"Could you show verse 16.16 of chapter 16?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 16.0
sloka-number: 16.16",Correct
50,50-3,"Yes","shloka.search - yes",Correct,"",Correct
50,50-4,"What does this verse say about divine and demonic natures?","Default Fallback Intent",Correct,"",Correct
51,51-1,"Give a summary of chapter 15","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 15.0
shloka-verse: null",Correct
51,51-2,"Show verse 15.15 from chapter 15","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 15.0
sloka-number: 15.15",Correct
51,51-3,"No","shloka.search - no",Correct,"",Correct
51,51-4,"Thank you for the insights","appreciate",Correct,"",Correct
52,52-1,"Display verse 14.14 from chapter 14","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 14.0
sloka-number: 14.14",Correct
52,52-2,"Yes","shloka.search - yes",Correct,"",Correct
52,52-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
52,52-4,"How do these verses explain the three gunas?","Default Fallback Intent",Correct,"",Correct
53,53-1,"Namaste","Default Fallback Intent",Correct,"",Correct
53,53-2,"Please show all verses of chapter 13","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 13.0
shloka-verse: Shloka",Correct
53,53-3,"Thank you","appreciate",Correct,"",Correct
53,53-4,"Which verse defines the field and the knower of the field?","Default Fallback Intent",Correct,"",Correct
54,54-1,"Provide a summary of chapter 12","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 12.0
shloka-verse: null",Correct
54,54-2,"Show verse 12.12 from chapter 12","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 12.0
sloka-number: 12.12",Correct
54,54-3,"How does this verse describe the ideal devotee?","Default Fallback Intent",Correct,"",Correct
55,55-1,"Show verse 11.11 of chapter 11","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 11.0
sloka-number: 11.11",Correct
55,55-2,"Yes","shloka.search - yes",Correct,"",Correct
55,55-3,"Display the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
55,55-4,"How do these verses describe the universal form?","Default Fallback Intent",Correct,"",Correct
56,56-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
56,56-2,"Please display verse 10.10 from chapter 10","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 10.0
sloka-number: 10.1",Incorrect
56,56-3,"No","shloka.search - no",Correct,"",Correct
56,56-4,"I understand, thank you for your time","appreciate",Correct,"",Correct
57,57-1,"verse 9 of chapter 9","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: 9.0",Correct
57,57-2,"Can you share verse 9.9?","get.previous.sloka",Incorrect,"number: 9.9
shloka-verse: Shloka",Incorrect
57,57-3,"Yes","get.previous.sloka - yes",Correct,"",Correct
57,57-4,"How does this verse describe devotion?","Default Fallback Intent",Correct,"",Correct
58,58-1,"Show all verses from chapter 8","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: Shloka",Correct
58,58-2,"Thank you","appreciate",Correct,"",Correct
58,58-3,"Which verse talks about remembering Krishna at the time of death?","Default Fallback Intent",Correct,"",Correct
59,59-1,"Give me a summary of chapter 7","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: null",Correct
59,59-2,"How does this chapter describe Krishna's divine nature?","Default Fallback Intent",Correct,"",Correct
60,60-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
60,60-2,"Could you show verse 6.6 of chapter 6?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.6",Correct
60,60-3,"Yes","shloka.search - yes",Correct,"",Correct
60,60-4,"What does this verse say about self-control?","Default Fallback Intent",Correct,"",Correct
61,61-1,"Provide a summary of chapter 5","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 5.0
shloka-verse: null",Correct
61,61-2,"Show verse 5.5 from chapter 5","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0
sloka-number: 5.5",Correct
61,61-3,"No","shloka.search - no",Correct,"",Correct
61,61-4,"Thank you for the explanation","appreciate",Correct,"",Correct
62,62-1,"Display verse 4.4 from chapter 4","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 4.0
sloka-number: 4.4",Correct
62,62-2,"Yes","shloka.search - yes",Correct,"",Correct
62,62-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
62,62-4,"How do these verses explain karma yoga?","Default Fallback Intent",Correct,"",Correct
63,63-1,"Namaste","Default Fallback Intent",Correct,"",Correct
63,63-2,"Please show all verses of chapter 3","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 3.0
shloka-verse: Shloka",Correct
63,63-3,"Thank you","appreciate",Correct,"",Correct
63,63-4,"Which verse talks about performing one's duty?","Default Fallback Intent",Correct,"",Correct
64,64-1,"Give a summary of chapter 2","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 2.0
shloka-verse: null",Correct
64,64-2,"Show verse 2.2 from chapter 2","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 2.2",Correct
64,64-3,"How does this verse set the tone for the chapter?","Default Fallback Intent",Correct,"",Correct
65,65-1,"Display verse 1.19 of chapter 1","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 1.19",Correct
65,65-2,"Yes","shloka.search - yes",Correct,"",Correct
65,65-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
65,65-4,"What's happening in these verses?","Default Fallback Intent",Correct,"",Correct
66,66-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
66,66-2,"Please show verse 18.18 from chapter 18","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 18.0
sloka-number: 18.18",Correct
66,66-3,"No","shloka.search - no",Correct,"",Correct
66,66-4,"I appreciate your help","appreciate",Correct,"",Correct
67,67-1,"shloka 9 of chapter 17","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 17.0
sloka-number: 9.0",Correct
67,67-2,"Can you share verse 17.17?","get.previous.sloka",Incorrect,"number: 17.17
shloka-verse: Shloka",Incorrect
67,67-3,"Yes","get.previous.sloka - yes",Correct,"",Correct
67,67-4,"How does this verse relate to faith?","Default Fallback Intent",Correct,"",Correct
68,68-1,"Show all verses from chapter 16","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 16.0
shloka-verse: Shloka",Correct
68,68-2,"Thank you","appreciate",Correct,"",Correct
68,68-3,"Which verse discusses divine qualities?","Default Fallback Intent",Correct,"",Correct
69,69-1,"Provide a summary of chapter 15","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 15.0
shloka-verse: null",Correct
69,69-2,"How does this chapter relate to the cosmic tree?","Default Fallback Intent",Correct,"",Correct
70,70-1,"Could you display verse 14.14 of chapter 14?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 14.0
sloka-number: 14.14",Correct
70,70-2,"Yes","shloka.search - yes",Correct,"",Correct
70,70-3,"What's the significance of this verse?","Default Fallback Intent",Correct,"",Correct
71,71-1,"Give a summary of chapter 13","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 13.0
shloka-verse: null",Correct
71,71-2,"Show verse 8 from chapter 13","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 13.0
sloka-number: 8.0",Correct
71,71-3,"No","shloka.search - no",Correct,"",Correct
71,71-4,"Thank you for explaining","appreciate",Correct,"",Correct
72,72-1,"Display verse 100 from chapter 12","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 12.0
sloka-number: 100.0",Correct
72,72-2,"Yes","shloka.search - yes",Correct,"",Correct
72,72-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
72,72-4,"What's the theme of these verses?","Default Fallback Intent",Correct,"",Correct
73,73-1,"Namaste","Default Fallback Intent",Correct,"",Correct
73,73-2,"Please show all verses of chapter 11","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: Shloka",Correct
73,73-3,"Thank you","appreciate",Correct,"",Correct
73,73-4,"Which verse describes Arjuna's reaction to the universal form?","Default Fallback Intent",Correct,"",Correct
74,74-1,"Provide a summary of chapter 10","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 10.0
shloka-verse: null",Correct
74,74-2,"Show verse xx from chapter 10","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 10.0
shloka-verse: Shloka",Correct
74,74-3,"How does this verse relate to divine manifestations?","Default Fallback Intent",Correct,"",Correct
