convID,messageID,message,Intent Identified,Correct/Incorrect,Entity Identified,Correct/Incorrect
7,7-2,"Can you share verse 5.5?","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0, 5.0
sloka-number: 5.5", 
7,7-3,"Yes","shloka.search - yes", ,"", 
7,7-4,"How does this verse describe the wise person?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
8,8-1,"Show all verses from chapter 4","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 4.0
shloka-verse: Shloka", 
8,8-2,"Thank you","", ,"", 
8,8-3,"Which verse talks about the nature of action and inaction?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
9,9-1,"Provide a summary of chapter 3","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 3.0
shloka-verse: null", 
9,9-2,"How does this chapter explain karma yoga?","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: null", 
10,10-1,"Hare Krishna!","Default Welcome Intent", ,"person: [object Object]", 
10,10-2,"Could you show verse 2.2 of chapter 2?","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 2.2", 
10,10-3,"Yes","shloka.search - yes", ,"", 
10,10-4,"What does Krishna say to Arjuna in this verse?","Default Welcome Intent", ,"person: [object Object]", 
11,11-1,"Give a summary of chapter 1","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 1.0
shloka-verse: null", 
11,11-2,"Show verse 1.1 from chapter 1","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 1.1", 
11,11-3,"No","shloka.search - no", ,"", 
11,11-4,"Thank you for the insights","", ,"", 
12,12-1,"Display verse 18.18 from chapter 18","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 18.0
shloka-verse: Shloka", 
12,12-2,"Yes","", ,"", 
12,12-3,"Show the previous verse","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
12,12-4,"How do these verses explain the factors of action?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
13,13-1,"Namaste","Default Fallback Intent", ,"", 
13,13-2,"Please show all verses of chapter 17","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: Shloka", 
13,13-3,"Thank you","", ,"", 
13,13-4,"Which verse explains the three types of faith?","shloka.search", ,"Chapter-adhyay: 
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: ", 
14,14-1,"Provide a summary of chapter 16","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 16.0
shloka-verse: null", 
14,14-2,"Show verse 16.16 from chapter 16","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 16.0
sloka-number: 16.16", 
14,14-3,"How does this verse describe the results of desire?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
15,15-1,"Show verse 15.15 of chapter 15","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 15.0
sloka-number: 15.15", 
15,15-2,"Yes","shloka.search - yes", ,"", 
15,15-3,"Display the next verse","get.next.sloka", ,"shloka-verse: Shloka", 
15,15-4,"How do these verses describe Krishna's all-pervasiveness?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
16,16-1,"Jai Shri Krishna!","Default Welcome Intent", ,"person: [object Object]", 
16,16-2,"Please display verse 14.14 from chapter 14","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 14.0
sloka-number: 14.14", 
16,16-3,"No","shloka.search - no", ,"", 
16,16-4,"I understand, thank you for your time","", ,"", 
17,17-1,"verse 13 of chapter 13","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 13.0
sloka-number: 13.0", 
17,17-2,"Can you share verse 13.13?","get.previous.sloka", ,"number: 13.13
shloka-verse: Shloka", 
17,17-3,"Yes","get.previous.sloka - yes", ,"", 
17,17-4,"How does this verse describe the knowable?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
18,18-1,"Show all verses from chapter 12","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 12.0
shloka-verse: Shloka", 
18,18-2,"Thank you","", ,"", 
18,18-3,"Which verse compares personal and impersonal worship?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
19,19-1,"Give me a summary of chapter 11","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: null", 
19,19-2,"How does this chapter describe the universal form?","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: null", 
20,20-1,"Hare Krishna!","Default Welcome Intent", ,"person: [object Object]", 
20,20-2,"Could you show verse 10.10 of chapter 10?","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 10.0
sloka-number: 10.1", 
20,20-3,"Yes","shloka.search - yes", ,"", 
20,20-4,"What does this verse say about devotion and wisdom?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
21,21-1,"Provide a summary of chapter 9","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: null", 
21,21-2,"Show verse 9.9 from chapter 9","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: 9.9", 
21,21-3,"No","shloka.search - no", ,"", 
21,21-4,"Thank you for the explanation","", ,"", 
22,22-1,"Display versus 8.8 from chapter 8","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: null", 
22,22-2,"Yes","", ,"", 
22,22-3,"Show the previous verse","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
22,22-4,"How do these verses explain constant remembrance of the Divine?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
23,23-1,"Namaste","Default Fallback Intent", ,"", 
23,23-2,"Please show all verses of chapter 7","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: Shloka", 
23,23-3,"Thank you","", ,"", 
23,23-4,"Which verse describes Krishna's two natures?","get.previous.sloka", ,"number: 2.0
shloka-verse: Shloka", 
24,24-1,"Give a summary of chapter 6","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 6.0
shloka-verse: null", 
24,24-2,"Show verse 6.6 from chapter 6","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.6", 
24,24-3,"How does this verse describe the controlled mind?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
25,25-1,"Display verse 5.5 of chapter 5","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0
sloka-number: 5.5", 
25,25-2,"Yes","shloka.search - yes", ,"", 
25,25-3,"Show the next verse","get.next.sloka", ,"shloka-verse: Shloka", 
25,25-4,"How do these verses describe the enlightened person?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
26,26-1,"Jai Shri Krishna!","Default Welcome Intent", ,"person: [object Object]", 
26,26-2,"Please show verse 4.4 from chapter 4","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 4.0
sloka-number: 4.4", 
26,26-3,"No","shloka.search - no", ,"", 
26,26-4,"I appreciate your help","", ,"", 
27,27-1,"verse 3 of chapter 3","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: 3.0", 
27,27-2,"Can you share verse 3.3?","get.previous.sloka", ,"number: 3.3
shloka-verse: Shloka", 
27,27-3,"Yes","get.previous.sloka - yes", ,"", 
27,27-4,"How does this verse explain the two paths?","get.previous.sloka", ,"number: 2.0
shloka-verse: Shloka", 
28,28-1,"Show all verses from chapter 2","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 2.0
shloka-verse: Shloka", 
28,28-2,"Thank you","", ,"", 
28,28-3,"Which verse introduces the concept of the soul?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
29,29-1,"Provide a summary of chapter 1","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 1.0
shloka-verse: null", 
29,29-2,"How does this chapter set the scene for the Gita?","get.next.chapter.summary", ,"chapter-adhyay: Chapter", 
30,30-1,"Hare Krishna!","Default Welcome Intent", ,"person: [object Object]", 
30,30-2,"Could you show verse 18.18 of chapter 18?","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 18.0
sloka-number: 18.18", 
30,30-3,"Yes","shloka.search - yes", ,"", 
30,30-4,"What does this verse say about the constituents of action?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
31,31-1,"Give a summary of chapter 17","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: null", 
31,31-2,"Show verse 17.17 from chapter 17","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 17.0
sloka-number: 17.17", 
31,31-3,"No","shloka.search - no", ,"", 
31,31-4,"Thank you for the insights","", ,"", 
32,32-1,"Display version 16.16 from chapter 16","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 16.0
shloka-verse: null", 
32,32-2,"Yes","", ,"", 
32,32-3,"Show the previous verse","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
32,32-4,"How do these verses contrast divine and demonic qualities?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
33,33-1,"Namaste","Default Fallback Intent", ,"", 
33,33-2,"Please show all verses of chapter 15","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 15.0
shloka-verse: Shloka", 
33,33-3,"Thank you","", ,"", 
33,33-4,"Which verse describes the supreme person?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
34,34-1,"Provide a summary of chapter 14","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 14.0
shloka-verse: null", 
34,34-2,"Show verse 14.14 from chapter 14","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 14.0
sloka-number: 14.14", 
34,34-3,"How does this verse explain transcendence of the gunas?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
35,35-1,"Show verse 13.13 of chapter 13","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 13.0
sloka-number: 13.13", 
35,35-2,"Yes","shloka.search - yes", ,"", 
35,35-3,"Display the next verse","get.next.sloka", ,"shloka-verse: Shloka", 
35,35-4,"How do these verses describe the knowable?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
36,36-1,"Jai Shri Krishna!","Default Welcome Intent", ,"person: [object Object]", 
36,36-2,"Please display verse 12.12 from chapter 12","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 12.0
sloka-number: 12.12", 
36,36-3,"No","shloka.search - no", ,"", 
36,36-4,"I understand, thank you","", ,"", 
37,37-1,"verse 11 of chapter 11","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 11.0
sloka-number: 11.0", 
37,37-2,"Can you share verse 11.11?","get.previous.sloka", ,"number: 11.11
shloka-verse: Shloka", 
37,37-3,"Yes","get.previous.sloka - yes", ,"", 
37,37-4,"How does this verse describe the universal form?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
38,38-1,"Show all verses from chapter 10","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 10.0
shloka-verse: Shloka", 
38,38-2,"Thank you","", ,"", 
38,38-3,"Which verse lists Krishna's divine manifestations?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
39,39-1,"Give me a summary of chapter 9","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: null", 
39,39-2,"How does this chapter describe bhakti yoga?","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: null", 
40,40-1,"Hare Krishna!","Default Welcome Intent", ,"person: [object Object]", 
40,40-2,"Could you show verse 8.8 of chapter 8?","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 8.0
sloka-number: 8.8", 
40,40-3,"Yes","shloka.search - yes", ,"", 
40,40-4,"What does this verse say about constant meditation?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
41,41-1,"Provide a summary of chapter 7","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: null", 
41,41-2,"Show verse 7.7 from chapter 7","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: Shloka", 
41,41-3,"No","", ,"", 
41,41-4,"Thank you for the explanation","", ,"", 
42,42-1,"Display versus 6.6 from chapter 6","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 6.0
shloka-verse: null", 
42,42-2,"Yes","", ,"", 
42,42-3,"Show the previous verse","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
42,42-4,"How do these verses describe the mind?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
43,43-1,"Namaste","Default Fallback Intent", ,"", 
43,43-2,"Please show all verses of chapter 5","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 5.0
shloka-verse: Shloka", 
43,43-3,"Thank you","", ,"", 
43,43-4,"Which verse talks about equanimity?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
44,44-1,"Give a summary of chapter 4","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 4.0
shloka-verse: null", 
44,44-2,"Show verse 4.4 from chapter 4","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 4.0
sloka-number: 4.4", 
44,44-3,"How does this verse describe the nature of action?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
45,45-1,"Display verse 3.3 of chapter 3","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: 3.3", 
45,45-2,"Yes","shloka.search - yes", ,"", 
45,45-3,"Show the next verse","get.next.sloka", ,"shloka-verse: Shloka", 
45,45-4,"How do these verses explain karma yoga?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
46,46-1,"Jai Shri Krishna!","Default Welcome Intent", ,"person: [object Object]", 
46,46-2,"Please show verse 2.2 from chapter 2","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 2.2", 
46,46-3,"No","shloka.search - no", ,"", 
46,46-4,"I appreciate your assistance","", ,"", 
47,47-1,"verse 1 of chapter 1","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 1.0", 
47,47-2,"Can you share verse 1.1?","get.previous.sloka", ,"number: 1.1
shloka-verse: Shloka", 
47,47-3,"Yes","get.previous.sloka - yes", ,"", 
47,47-4,"How does the Gita begin?","Default Welcome Intent", ,"person: [object Object]", 
48,48-1,"Show all verses from chapter 18","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 18.0
shloka-verse: Shloka", 
48,48-2,"Thank you","", ,"", 
48,48-3,"Which verse is considered the essence of the Gita?","shloka.search", ,"Chapter-adhyay: 
Shloka-verse: Shloka
chapter-number: 
sloka-number: ", 
49,49-1,"Provide a summary of chapter 17","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: null", 
49,49-2,"How does this chapter explain the three types of faith?","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 3.0
shloka-verse: null", 
50,50-1,"Hare Krishna!","Default Welcome Intent", ,"person: [object Object]", 
50,50-2,"Could you show verse 16.16 of chapter 16?","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 16.0
sloka-number: 16.16", 
50,50-3,"Yes","shloka.search - yes", ,"", 
50,50-4,"What does this verse say about divine and demonic natures?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
51,51-1,"Give a summary of chapter 15","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 15.0
shloka-verse: null", 
51,51-2,"Show verse 15.15 from chapter 15","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 15.0
sloka-number: 15.15", 
51,51-3,"No","shloka.search - no", ,"", 
51,51-4,"Thank you for the insights","", ,"", 
52,52-1,"Display verse 14.14 from chapter 14","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 14.0
shloka-verse: Shloka", 
52,52-2,"Yes","", ,"", 
52,52-3,"Show the previous verse","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
52,52-4,"How do these verses explain the three gunas?","get.previous.sloka", ,"number: 3.0
shloka-verse: Shloka", 
53,53-1,"Namaste","Default Fallback Intent", ,"", 
53,53-2,"Please show all verses of chapter 13","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 13.0
shloka-verse: Shloka", 
53,53-3,"Thank you","", ,"", 
53,53-4,"Which verse defines the field and the knower of the field?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
54,54-1,"Provide a summary of chapter 12","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 12.0
shloka-verse: null", 
54,54-2,"Show verse 12.12 from chapter 12","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 12.0
shloka-verse: Shloka", 
54,54-3,"How does this verse describe the ideal devotee?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
55,55-1,"Show verse 11.11 of chapter 11","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 11.0
sloka-number: 11.11", 
55,55-2,"Yes","shloka.search - yes", ,"", 
55,55-3,"Display the next verse","get.next.sloka", ,"shloka-verse: Shloka", 
55,55-4,"How do these verses describe the universal form?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
56,56-1,"Jai Shri Krishna!","Default Welcome Intent", ,"person: [object Object]", 
56,56-2,"Please display verse 10.10 from chapter 10","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 10.0
sloka-number: 10.1", 
56,56-3,"No","shloka.search - no", ,"", 
56,56-4,"I understand, thank you for your time","", ,"", 
57,57-1,"verse 9 of chapter 9","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: ", 
57,57-2,"Can you share verse 9.9?","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: 9.9", 
57,57-3,"Yes","shloka.search - yes", ,"", 
57,57-4,"How does this verse describe devotion?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
58,58-1,"Show all verses from chapter 8","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: Shloka", 
58,58-2,"Thank you","", ,"", 
58,58-3,"Which verse talks about remembering Krishna at the time of death?","Default Welcome Intent", ,"person: [object Object]", 
59,59-1,"Give me a summary of chapter 7","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: null", 
59,59-2,"How does this chapter describe Krishna's divine nature?","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: null", 
60,60-1,"Hare Krishna!","Default Welcome Intent", ,"person: [object Object]", 
60,60-2,"Could you show verse 6.6 of chapter 6?","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.6", 
60,60-3,"Yes","shloka.search - yes", ,"", 
60,60-4,"What does this verse say about self-control?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
61,61-1,"Provide a summary of chapter 5","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 5.0
shloka-verse: null", 
61,61-2,"Show verse 5.5 from chapter 5","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0
sloka-number: 5.5", 
61,61-3,"No","shloka.search - no", ,"", 
61,61-4,"Thank you for the explanation","", ,"", 
62,62-1,"Display verse 4.4 from chapter 4","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 4.0
sloka-number: 4.4", 
62,62-2,"Yes","shloka.search - yes", ,"", 
62,62-3,"Show the previous verse","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
62,62-4,"How do these verses explain karma yoga?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
63,63-1,"Namaste","Default Fallback Intent", ,"", 
63,63-2,"Please show all verses of chapter 3","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: ", 
63,63-3,"Thank you","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: ", 
63,63-4,"Which verse talks about performing one's duty?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
64,64-1,"Give a summary of chapter 2","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 2.0
shloka-verse: null", 
64,64-2,"Show verse 2.2 from chapter 2","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 2.2", 
64,64-3,"How does this verse set the tone for the chapter?","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: Shloka", 
65,65-1,"Display verse 1.19 of chapter 1","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 1.19", 
65,65-2,"Yes","shloka.search - yes", ,"", 
65,65-3,"Show the next verse","get.next.sloka", ,"shloka-verse: Shloka", 
65,65-4,"What's happening in these verses?","Default Fallback Intent", ,"", 
66,66-1,"Jai Shri Krishna!","Default Welcome Intent", ,"person: [object Object]", 
66,66-2,"Please show verse 18.18 from chapter 18","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 18.0
sloka-number: 18.18", 
66,66-3,"No","shloka.search - no", ,"", 
66,66-4,"I appreciate your help","", ,"", 
67,67-1,"verse 17 of chapter 17","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 17.0
sloka-number: 17.0", 
67,67-2,"Can you share verse 17.17?","get.previous.sloka", ,"number: 17.17
shloka-verse: Shloka", 
67,67-3,"Yes","get.previous.sloka - yes", ,"", 
67,67-4,"How does this verse relate to faith?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
68,68-1,"Show all verses from chapter 16","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 16.0
shloka-verse: Shloka", 
68,68-2,"Thank you","", ,"", 
68,68-3,"Which verse discusses divine qualities?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
69,69-1,"Provide a summary of chapter 15","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 15.0
shloka-verse: null", 
69,69-2,"How does this chapter relate to the cosmic tree?","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: null", 
70,70-1,"Could you display verse 14.14 of chapter 14?","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 14.0
sloka-number: 14.14", 
70,70-2,"Yes","shloka.search - yes", ,"", 
70,70-3,"What's the significance of this verse?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
71,71-1,"Give a summary of chapter 13","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 13.0
shloka-verse: null", 
71,71-2,"Show verse 13.13 from chapter 13","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 13.0
sloka-number: 13.13", 
71,71-3,"No","shloka.search - no", ,"", 
71,71-4,"Thank you for explaining","", ,"", 
72,72-1,"Display verse 12.12 from chapter 12","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 12.0
shloka-verse: Shloka", 
72,72-2,"Yes","", ,"", 
72,72-3,"Show the previous verse","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
72,72-4,"What's the theme of these verses?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
73,73-1,"Namaste","Default Fallback Intent", ,"", 
73,73-2,"Please show all verses of chapter 11","chapter.all.sloka", ,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: Shloka", 
73,73-3,"Thank you","", ,"", 
73,73-4,"Which verse describes Arjuna's reaction to the universal form?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
74,74-1,"Provide a summary of chapter 10","chapter.summary", ,"chapter-adhyay: Chapter
chapter-number: 10.0
shloka-verse: null", 
74,74-2,"Show verse 10.10 from chapter 10","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 10.0
sloka-number: 10.1", 
74,74-3,"How does this verse relate to divine manifestations?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
75,75-1,"Show verse 9.9 of chapter 9","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: ", 
75,75-2,"Yes","shloka.search", ,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: ", 
75,75-3,"Display the next verse","get.next.sloka", ,"shloka-verse: Shloka", 
75,75-4,"How are these verses connected?","get.previous.sloka", ,"number: null
shloka-verse: Shloka", 
76,76-1,"Jai Shri Krishna!","Default Welcome Intent", ,"person: [object Object]", 
